subject,task,sequence_length,label,movement_mean,movement_std,movement_max,movement_min,movement_median,movement_p95,movement_p99,movement_iqr,movement_cv,movement_skew,movement_kurtosis,scanpath_length,num_samples,dispersion,dispersion_x,dispersion_y,center_distance_mean,center_distance_std,center_distance_max,velocity_mean,velocity_std,velocity_max,acceleration_mean,acceleration_std,acceleration_max,fixation_mean_duration,fixation_max_duration,fixation_count,hull_area,cluster
sub-013,memory,13,6001131,0.0007271114506047,0.0029796602158892,0.1707261914667545,7.109129481615475e-06,0.0005637294692728,0.0015856859246201,0.002488785760282,0.0005214740901193,4.097941537588459,54.36135063547452,3050.206716280913,4.733495543436646,6511,0.007901859673281,0.0033516656102933,0.007155817488799,0.0319653860719107,0.0056661327004958,0.1434742951862259,0.1743607228212549,0.4090747745714265,29.586676232084148,0.0383771182892332,101.35178343989249,5233.837843546241,1.1090289608177173,5.0,587,0.0054109853899929,0
sub-013,memory,9,6001090,0.0007623166715748,0.0028189323123854,0.1316954908368154,3.821296448330949e-06,0.0005812822600168,0.0016072910574185,0.0028700742849463,0.0005451321676149,3.6978494863057696,44.52922915590784,2063.0379706793683,3.420514905356397,4488,0.0121380522073438,0.0053895339779957,0.0108759015666856,0.0201300147960701,0.0101516120744851,0.1220530879209312,0.1834036208689941,0.5085148846206843,32.678869076425386,1.002801742393664,140.84950832916942,8021.800666327526,1.133838383838384,3.0,396,0.0035529330091693,0
sub-013,memory,13,6001131,0.000659977690009,0.0004811103873517,0.0066808793637682,1.4355601689626266e-05,0.0005569830671223,0.0014879871639707,0.0022098155827657,0.000529820233653,0.7289797740665198,2.6314377623932805,16.268369413107113,4.314274159588933,6538,0.0070567941211419,0.0043451283772659,0.0055604138922621,0.0453742349174837,0.0050799044739296,0.0594898784965144,0.1647236141170757,0.1217827984109239,1.953544272097777,0.2825536123039306,39.116910455150126,512.8528202033513,1.1047297297297298,3.0,592,0.0005916484761303,1
sub-013,memory,13,6001131,0.0007841649810758,0.0035429671924398,0.1443290389795535,5.853400347736785e-06,0.0005607746345082,0.0015840107319789,0.0031242603544682,0.0005226162263732,4.518140031679271,37.44792124173228,1463.895733554859,5.083741572314784,6484,0.0110596304974745,0.0063967810189261,0.0090220075003612,0.029039210382577,0.0075468890749404,0.139500923270039,0.1956203881058653,1.2680639615171014,72.53293380159324,8.41755937275048,652.0866389839805,36361.38332681243,1.1189655172413793,4.0,580,0.0048966583876368,0
sub-013,memory,9,6001091,0.0006413128064293,0.0004490212288405,0.0050138547569752,1.277242356764528e-06,0.000542213029068,0.0014696842585605,0.0021742476899538,0.0005020273703956,0.7001594609353645,2.079407390189567,9.29415807072289,2.903223074705555,4528,0.0057011342918701,0.0041345395998975,0.0039253680732915,0.0379826692865683,0.0042502988756854,0.0494787814089425,0.1599658177985505,0.1129938102181567,1.3090339908247883,0.230461099936739,35.29923300917176,264.1673118596963,1.1157635467980296,3.0,406,0.0002959302736292,1
sub-013,memory,5,6001050,0.0006349390720946,0.0005152369881731,0.0060190054700749,8.764081283037419e-06,0.0005096863753498,0.001484879089484,0.0024319435591557,0.0004869263726786,0.811474692325083,3.200250770968898,19.338951607114343,1.5994115226064034,2520,0.0096785538055315,0.0044063597695473,0.0086173312195762,0.035010772237061,0.0069340327916248,0.0522739701184325,0.1585511246350632,0.1292586438843432,1.5494152528484293,0.3064921692555915,38.237048068913474,339.69392233604464,1.1402714932126696,4.0,221,0.000552137747901,1
sub-013,listening,13,500113,0.0006773654249062,0.0020911789394108,0.1088970776801255,0.0,0.0005259151413459,0.001348424708574,0.0019870527048871,0.0004970162980136,3.0872242109199823,43.44563252652045,2172.6401033683446,4.43064724431207,6542,0.0196454148215357,0.0033166220188585,0.0193634279479187,0.0325540420329208,0.016181615968833,0.1520523706344144,0.1693858763912287,0.7200846429214491,55.565383029447865,3.680042334283558,354.8831167772538,28239.321811494123,1.102866779089376,4.0,593,0.0024666734820577,0
sub-013,listening,9,500109,0.000820032577493,0.0033098851075974,0.122266224388182,2.009117687940684e-05,0.0005603957135223,0.0016495124057525,0.0035920051644275,0.0005276546893503,4.036284897017565,28.39825070976843,872.0122720756436,3.627004090251591,4424,0.0393394275173376,0.007189724287719,0.0386768460717578,0.0816205020649101,0.0374822488684442,0.2037672372516359,1.201969693056432,67.37373664178295,4480.066634330688,50464.37170488923,3363686.552804277,223652695.34820372,1.1102756892230576,3.0,399,0.0069188245331072,0
sub-013,listening,5,500105,0.0005875672620798,0.0003705519995229,0.0027655052801081,0.0,0.0005134513199571,0.0012962210113919,0.001760453180467,0.0004674842378593,0.630654604906441,1.2173730626599182,2.25650999996642,1.4689181551996096,2501,0.0166861571616851,0.0041268317485621,0.0161677797035807,0.0534659880950722,0.0142695992132156,0.0699320902242464,0.1467844593681297,0.0951143414506955,1.1840665828412067,0.2701833257312282,32.279060412233704,325.8294097044618,1.1160714285714286,3.0,224,0.0005701320365856,1
sub-013,listening,13,500113,0.0014277846346334,0.0106460394968619,0.3701114145898889,1.0455135363720698e-06,0.0005985253945512,0.0020116344789352,0.0083806013525154,0.0006196446324995,7.4563342668239265,22.37251028567447,592.1773433832582,8.919370612555078,6248,0.1072776436105254,0.0455239739814211,0.0971393875395856,0.0838708435599231,0.0724645679243211,0.5962189676573545,4.084694328974628,240.7240594382935,18138.999854228237,381344.138044491,24039245.8867286,1811249945.9330304,1.1140819964349375,4.0,561,0.1582605852983174,0
