subject,task,sequence_length,label,movement_mean,movement_std,movement_max,movement_min,movement_median,movement_p95,movement_p99,movement_iqr,movement_cv,movement_skew,movement_kurtosis,scanpath_length,num_samples,dispersion,dispersion_x,dispersion_y,center_distance_mean,center_distance_std,center_distance_max,velocity_mean,velocity_std,velocity_max,acceleration_mean,acceleration_std,acceleration_max,fixation_mean_duration,fixation_max_duration,fixation_count,hull_area
sub-013,listening,9,500109,0.0009280947674512848,0.005369240187636957,0.13326763087849056,5.0412037734196465e-06,0.00046449426956803757,0.0015632672441642092,0.005660358662254305,0.0004694877469599921,5.785228379621034,21.069981092441626,472.4215676791222,4.061342702366822,4377,0.03300399436230674,0.0053345184904547,0.03257002542741059,0.0784955896563618,0.030407681423104453,0.28742751101252634,1.6658698442419637,96.58817775435014,6388.336438762487,72905.08009208893,4821581.036588629,318881154.76011086,1.1465968586387434,4.0,382,0.011870660804351495
sub-013,listening,5,500105,0.0005559286419387006,0.00041858938841646156,0.006253102419138606,0.0,0.00046176469378823577,0.0013103061514675588,0.0018360569950152277,0.00044600535977504816,0.7529552479194215,2.9802334657804526,22.46895809935328,1.3964927485500158,2513,0.011933200080203439,0.0023989158637748964,0.011689587966763264,0.06793921040857326,0.009817070462130173,0.08259970010583459,0.13855219405821617,0.10456191317942584,1.7917346966117456,0.1359019097295503,34.73274715844179,339.20672163226027,1.0909090909090908,3.0,231,0.00018134977915946574
sub-013,listening,13,500113,0.0009325491920276072,0.005028475880647254,0.14676862897506154,2.908079433789338e-06,0.00045383194218052113,0.0015583651116910181,0.009881184567213675,0.0004537038215272066,5.392182979338629,22.5753138874396,573.6336816403646,5.958056787864383,6390,0.06551861868177589,0.028108290504283782,0.059182880961429575,0.08325392727383392,0.05581275728057021,0.3647240107704111,0.22367802141523163,1.3994005334714883,66.49270530255536,10.288061206497613,619.9334809911345,32030.257080137053,1.14721723518851,4.0,557,0.03708706607758204
sub-013,memory,9,6001091,0.0005354399775199371,0.0004578747524683356,0.0063718508765336235,2.6675671330868393e-06,0.00044074676629342715,0.0011753321919622695,0.0021018522794319116,0.00043177934392811735,0.8551374041757773,4.4891468625228725,37.59868998659464,2.425543098165315,4531,0.0068749894789958505,0.004990486782985629,0.0047286913628560474,0.06216472255248582,0.0045804857387449155,0.07376592524735126,0.13363595836118103,0.11478303009789488,1.6171777574033936,0.19857854985540563,32.50776190380386,256.11850513108476,1.113022113022113,3.0,407,0.0006076248655628056
sub-013,memory,5,6001051,0.0005156609484178568,0.0003763532856351473,0.0038799738071082102,0.0,0.00043213356153225436,0.0011587954582631614,0.0018086711088753922,0.0003980220794481522,0.7298463976957512,2.578954760371087,13.01451453654308,1.292761997683567,2508,0.004459008186796221,0.003409807994681468,0.0028733192390199306,0.05454354973715934,0.0025239326477677223,0.06027647637870296,0.1287908595332194,0.09522610190698605,0.9748286605396667,0.2032345368653097,31.487019563900358,230.75116835110995,1.1155555555555556,3.0,225,0.00017890176538477764
sub-013,memory,9,6001091,0.0006650830358731054,0.0033715753693177317,0.13664522522842512,3.705496239185072e-06,0.00045740289407304063,0.0013326780274979856,0.0030256069803984175,0.0004484188612656593,5.069405153134912,37.11564012482343,1418.5429526052683,2.9815672498191317,4484,0.008233983076922725,0.0049031324025740584,0.0066149656048900335,0.07490540484867791,0.007091768491647347,0.17174179176834228,0.14735082137505875,0.22638459057673493,8.938604882957996,-0.7284464481851617,61.966608545786634,594.7520496678767,1.1483375959079285,3.0,391,0.0032066140140186916
sub-013,memory,5,6001051,0.0005606417708017358,0.00041628502816929206,0.004928597469332353,0.0,0.00046260336947116527,0.0012744805441060048,0.0018912279565111993,0.0004613019627171949,0.7425151850066238,2.7401892289252516,16.732243914777612,1.4100140535663654,2516,0.0034616359568163204,0.002811039893288318,0.0020201431176689547,0.04455280869857621,0.002736199179182957,0.050882494671930636,0.1401768678336778,0.10515091277258817,1.2260266935537967,0.35299759026123173,32.05031649778754,209.8930276467941,1.1300448430493273,3.0,223,0.00016663717897456894
sub-013,memory,9,6001091,0.0005350881942893416,0.000423106010237507,0.006154104988444754,4.7439796427702844e-06,0.0004456099144078163,0.0011934761983103163,0.0019843239479979888,0.0004229148098421514,0.7907220057423248,3.656380224815119,28.89978836620587,2.4255547847135857,4534,0.004846991632651633,0.003368012665487194,0.0034856589867789402,0.044315331951529785,0.003273263310427874,0.05390116933314352,0.13348158511330468,0.10546279247629177,1.4801188757120913,0.2730633396948171,33.03113887886161,410.93725748647455,1.1154791154791155,3.0,407,0.00028015775891649004
sub-013,memory,9,6001091,0.0005497364144945507,0.00045909074230586776,0.00599172903729004,5.715986500371087e-06,0.00044916989016642063,0.001284029905563064,0.0021532962441052753,0.0004490668577847588,0.8351106643135036,3.643818499628908,25.373783700392874,2.4892064848313256,4529,0.005013220231693141,0.0037860850881677797,0.003286021423638471,0.04221106298329529,0.0037819624654248274,0.052186722053579604,0.1371587488851278,0.1152857437032254,1.4831002105648725,0.19040980647457356,33.933538182810985,257.65554027174454,1.102189781021898,5.0,411,0.0003589310575522846
sub-013,memory,13,6001131,0.0006188410238607596,0.002945723379614633,0.1656668832313982,0.0,0.0004503503284216165,0.0012789985695356733,0.0027526971580447653,0.00043996703213711663,4.760064808304348,53.86857846626329,3008.049508451776,4.021228973047216,6499,0.008200376579245286,0.005089411319531514,0.006429935338870766,0.03930902110943311,0.004766771591877387,0.17190925463483375,0.14902104357682533,0.543600509555898,41.34486276241189,1.2948096947559402,137.2354365982121,10232.034294519974,1.0887772194304857,5.0,597,0.0054151702564535584
sub-013,memory,13,6001131,0.0006181593414272532,0.002925766956841292,0.17064991078276853,0.0,0.0004612267844023995,0.0013262637633761672,0.0021725126122011,0.0004459482210992812,4.7330304029476595,55.08181872482289,3107.6900243799178,4.01494492257001,6496,0.008465786382948998,0.0032875534172169783,0.007801380109356912,0.03181545597058121,0.004844443241143157,0.16131381700030942,0.1592179743952653,1.3482054505365413,108.00627786265417,8.643018176950656,859.1227779491101,68094.9702839355,1.1073253833049403,5.0,587,0.004181867538281137
sub-013,memory,13,6001131,0.0005487417185042259,0.00044304975229094893,0.008669542081081946,4.3030491574479056e-06,0.0004501610245270756,0.0012719422309352333,0.002119564646407671,0.0004459074582673772,0.8073921434270118,4.145678206338517,45.49711851538808,3.582185938395587,6529,0.005685862744555486,0.0033546912321838246,0.004590760491098726,0.04356201458613815,0.003353385084213306,0.05399314423237609,0.1371317197087631,0.11175583364936176,2.093698309581396,0.3125543566685328,34.92810541773925,484.11683956066634,1.1219931271477663,4.0,582,0.0005021558448582065
sub-013,memory,5,6001051,0.0005283097664102909,0.0003671357145136924,0.004685034670538322,5.4334250330404806e-06,0.00044561804990153603,0.0011900997672335365,0.0017521580514330587,0.00042291972279955085,0.6949250948137327,2.1416320075667152,11.017962835362026,1.3276424429890612,2514,0.0032671080501725323,0.001781615906062022,0.002738583534378487,0.03871845004248035,0.001954453107737733,0.04450994921128716,0.13173055600009054,0.09162786808934616,1.1683488708471115,0.13085490033746874,29.80758169411439,225.4290185038466,1.1101321585903083,3.0,227,9.544611270042269e-05
sub-013,memory,13,6001131,0.0005290907242048464,0.0003642861016451996,0.004137537478732107,0.0,0.00045419409860805347,0.0012086096337853534,0.001783138710774453,0.00041831345398510067,0.6885134911270152,1.8477889275372452,7.075543446958065,3.4602533362996954,6541,0.004008166010904573,0.0014022266579903084,0.003754884175389703,0.04808199427366055,0.0014671976863258349,0.052122433999636474,0.13197098031307652,0.09137879961879822,1.0396028273645235,0.19745254986155794,31.478293076711747,214.78706568648573,1.1141396933560477,3.0,587,0.00012690616069961776
sub-013,memory,5,6001051,0.0005490398790304263,0.00041823074760582454,0.0054670132381451604,4.005150425590487e-06,0.00046220037466794544,0.00128249997170406,0.0018701670679951517,0.0004411371197467803,0.7617493074353663,2.8659566479370846,18.14080785067147,1.3736977773341268,2503,0.002791333387256385,0.002219576865549195,0.0016926371781131996,0.0499115097279029,0.0022096905601660284,0.056978426113649394,0.13769015840519885,0.10652286616685,1.36677090616947,0.40360066652954957,34.257241412038425,281.1663762000271,1.0913043478260869,2.0,230,9.882731781467206e-05
sub-013,listening,5,500105,0.0013968560617925337,0.009321706925972948,0.18386218011096564,6.272554874459637e-06,0.000468837804045833,0.0016803984481699539,0.012510698449498812,0.00048031557053729914,6.673348228886766,15.207497454073717,250.68526222320784,3.3859790937851018,2425,0.0699262642956801,0.015364611188296455,0.0682173816661251,0.07245100003193752,0.054576854038966144,0.3599401195309309,0.27074969194189574,1.97295607495874,64.35115874606782,26.760297777196833,919.029821753507,31543.52667388389,1.0945945945945945,3.0,222,0.0682406654650027
sub-013,listening,13,500113,0.0006448983003762062,0.0023840192530589594,0.11140823488103367,0.0,0.0004582715458363439,0.0012742284686517126,0.003101625308120283,0.00044099546215547694,3.696736759374655,35.25053318385447,1398.16847975871,4.2105410031562505,6530,0.01608976541795306,0.004151079613954364,0.015545066395592227,0.05866459897305232,0.006616617103583804,0.1111592552634032,0.16186355012595768,0.7837542428135796,46.12286828759419,5.539235478630359,363.9534519477489,20860.09495960429,1.1105442176870748,4.0,588,0.009620542156738226
sub-013,listening,9,500109,0.0005576944999700185,0.0003855296589762163,0.004302032767059671,1.8591855072403324e-06,0.0004753407940709077,0.001326920434531494,0.0017591135048961165,0.0004636125516093282,0.69129184346796,1.5470147823524198,4.666447992470234,2.525798390364214,4530,0.006080503705186265,0.001896799171904825,0.005777082153669366,0.06503839037799963,0.0030961447249749827,0.07616024157952912,0.13932030850540414,0.09746190170135655,1.08366063557801,0.2478502002920408,34.32597509069198,318.09815233802044,1.1240694789081886,4.0,403,0.0001982618484932381
sub-013,listening,9,500109,0.0008842090505417706,0.00493539973450991,0.1447041592204469,6.89374106475389e-06,0.0005295943676484911,0.0015380199577035875,0.003889147403706561,0.0005106166097602642,5.581711396740288,23.670738537252465,586.527719955185,3.8940566585859577,4405,0.017133032245349955,0.004941115866676828,0.01640506531264889,0.03806397648010171,0.012296891093803032,0.1460271064374294,0.2082724982634797,1.3162444361421592,65.56803795131125,10.420353170681935,622.1816755387354,33129.5694258238,1.0835380835380835,4.0,407,0.008072513043055837
sub-013,listening,5,500105,0.0005974425792372636,0.0004058316065200026,0.0034959773066005773,0.0,0.000508369624045279,0.0013585679169893605,0.0019219568902261877,0.00048029518648146655,0.6792813579475959,1.6283651122662401,4.866662179926934,1.5007757590440063,2513,0.006077305757361021,0.002823889495501653,0.005381383965640143,0.03126006512568159,0.0027888703878774256,0.03977487844622913,0.14890630758107326,0.101855159574035,0.8761990798317316,0.21408048865993212,33.75609712327397,215.4484298132712,1.12,4.0,225,0.00028235517591490913
sub-013,listening,13,500113,0.0006341905476825678,0.0004228985430117443,0.004589378176689309,0.0,0.0005483769902638758,0.0014070690689218313,0.0020724602092008567,0.0004908080097228572,0.6668319869431707,1.8119104991367443,6.787954883095592,4.145069419653263,6537,0.006466515834514908,0.0037394170655825846,0.00527565986845833,0.03501242732553728,0.0037997052896567656,0.04890557771137072,0.15851906252935716,0.1070161408233548,1.1473593159683302,0.3306866746033925,36.702675501514,312.3123305904054,1.1413612565445026,3.0,573,0.0003793731407584902
sub-013,memory,5,6001051,0.0006487214566401318,0.0004730452672069227,0.004411551554278805,0.0,0.0005380234856005191,0.0014907499967078029,0.002496319692904004,0.0005072124228225559,0.7291962711653258,2.1590931402661235,8.099512014220544,1.6231010845136098,2503,0.0055664437005548155,0.0036574533204030073,0.004196228149245392,0.04718213502324899,0.003910508848926358,0.05629530274531728,0.16236872133389327,0.12193758385713535,1.1909541660477818,0.41861737458040027,40.007752728474706,338.7117230124445,1.1205357142857142,2.0,224,0.00025609813667867696
sub-013,memory,9,6001091,0.0006729444297995116,0.002145719766757274,0.10001716455024534,8.976134461841223e-07,0.0005156852517772996,0.0014814469762867112,0.0028289425087889815,0.0004897738117463205,3.1885541684274616,43.32121867945563,1992.9689039516277,3.047765322561988,4530,0.009109976146572406,0.005085011751611196,0.007558724818188201,0.04542214575736542,0.005927983652166062,0.13257048309161526,0.1697865225246687,0.7510560467975328,49.31403493174419,4.610528978166,368.34990859516597,24366.212714546386,1.1157635467980296,4.0,406,0.001814964715619349
sub-013,memory,5,6001051,0.0006277066088108434,0.00045354910990898727,0.00440713430601537,9.337048868936645e-06,0.0005314251710206606,0.0014136280716938651,0.0022166204127157087,0.0005075235818772893,0.7225495216120342,2.306342138813316,10.498202580286412,1.575543588115217,2511,0.006184330515384729,0.0027251063932063713,0.0055515528520608095,0.01997903296684593,0.002915349784391973,0.028339190627749106,0.1568068475570634,0.11421163108676034,1.0955239478124092,0.3102235770121471,36.21630592445533,230.44326401522292,1.1357466063348416,4.0,221,0.00033033184278545276
sub-013,memory,13,6001131,0.0006832920744051625,0.0026489733164240564,0.15609783814157543,0.0,0.0005446186936111286,0.0014343593039525039,0.0022147740000081056,0.00048294839486828225,3.876780392528496,54.15357175992983,3045.349016675957,4.442765067782367,6503,0.006770970653547043,0.002761248213566017,0.006182358117601547,0.025764540388298576,0.003983524229425236,0.14815636319185088,0.17126104760629676,0.9708329856667683,77.65648047782736,4.764678381132782,480.394733234662,37259.01049771748,1.1481481481481481,4.0,567,0.0041646102410408704
sub-013,memory,9,6001091,0.0007442561899370356,0.003398134795282424,0.16199315624538924,0.0,0.0005678735961878711,0.001515562440359309,0.0024211296437848364,0.0005271556128857584,4.565813279389598,45.50948522745452,2127.5582734892378,3.3595724413757786,4515,0.011839935831092717,0.004564996762861054,0.010924508457567383,0.018499121993006865,0.008506390241227433,0.13481292594624872,0.1866300415714819,1.1914788740566404,79.15505989376786,6.441427630796564,611.0807023290605,39681.590907965794,1.1105651105651106,4.0,407,0.004136195401374323
sub-013,memory,5,6001051,0.0006605344695275984,0.0004755406397984757,0.007917252752953765,1.716819827119143e-05,0.0005562370439373981,0.0014851901061358188,0.002071631068636569,0.0005288470006895292,0.7199331174019931,3.29102873627576,31.055927041454066,1.6632257942704927,2519,0.006166383342576518,0.0035047484546342983,0.005073561056826226,0.029504356170771438,0.004776447038262543,0.045906910504388596,0.16484566833808542,0.11920699459598175,1.9124259900210199,0.2234182861706048,38.85828126882685,346.08746872867863,1.125,4.0,224,0.00039750915307397634
sub-013,memory,13,6001131,0.0007271114506047075,0.0029796602158892295,0.1707261914667545,7.109129481615475e-06,0.0005637294692728159,0.0015856859246201436,0.0024887857602820516,0.0005214740901193682,4.097941537588459,54.361350635474516,3050.206716280913,4.733495543436646,6511,0.007901859673281058,0.0033516656102933148,0.0071558174887990655,0.031965386071910726,0.005666132700495839,0.1434742951862259,0.1743607228212549,0.4090747745714265,29.586676232084148,0.03837711828923327,101.35178343989247,5233.837843546241,1.1090289608177173,5.0,587,0.005410985389992948
sub-013,memory,9,6001090,0.0007623166715748601,0.0028189323123854206,0.13169549083681542,3.821296448330949e-06,0.0005812822600168787,0.0016072910574185233,0.002870074284946382,0.0005451321676149799,3.6978494863057696,44.529229155907835,2063.0379706793683,3.4205149053563972,4488,0.012138052207343862,0.005389533977995733,0.010875901566685619,0.020130014796070152,0.010151612074485115,0.12205308792093121,0.18340362086899414,0.5085148846206843,32.678869076425386,1.002801742393664,140.84950832916942,8021.800666327526,1.1338383838383839,3.0,396,0.0035529330091693717
sub-013,memory,13,6001131,0.0006599776900090154,0.0004811103873517157,0.006680879363768223,1.4355601689626266e-05,0.0005569830671223156,0.001487987163970713,0.0022098155827657514,0.0005298202336530296,0.7289797740665198,2.6314377623932805,16.268369413107113,4.314274159588933,6538,0.007056794121141984,0.004345128377265979,0.005560413892262157,0.04537423491748377,0.005079904473929624,0.059489878496514485,0.16472361411707576,0.12178279841092393,1.953544272097777,0.2825536123039306,39.116910455150126,512.8528202033513,1.1047297297297298,3.0,592,0.0005916484761303457
sub-013,memory,13,6001131,0.0007841649810758574,0.0035429671924398494,0.14432903897955351,5.853400347736785e-06,0.000560774634508259,0.0015840107319789773,0.0031242603544682215,0.0005226162263732388,4.518140031679271,37.44792124173228,1463.8957335548587,5.083741572314784,6484,0.011059630497474538,0.006396781018926188,0.009022007500361244,0.02903921038257703,0.007546889074940466,0.13950092327003907,0.19562038810586532,1.2680639615171014,72.53293380159324,8.41755937275048,652.0866389839805,36361.38332681243,1.1189655172413793,4.0,580,0.0048966583876368566
sub-013,memory,9,6001091,0.0006413128064293252,0.0004490212288405021,0.005013854756975227,1.2772423567645279e-06,0.0005422130290680442,0.0014696842585605228,0.002174247689953896,0.0005020273703956377,0.7001594609353645,2.079407390189567,9.29415807072289,2.903223074705555,4528,0.005701134291870143,0.004134539599897572,0.003925368073291535,0.03798266928656832,0.004250298875685481,0.049478781408942574,0.15996581779855054,0.11299381021815671,1.3090339908247883,0.23046109993673908,35.29923300917176,264.1673118596963,1.1157635467980296,3.0,406,0.0002959302736292749
sub-013,memory,5,6001050,0.000634939072094642,0.0005152369881731734,0.006019005470074913,8.764081283037419e-06,0.0005096863753498243,0.0014848790894840145,0.0024319435591557063,0.00048692637267860894,0.811474692325083,3.200250770968898,19.338951607114343,1.5994115226064034,2520,0.009678553805531506,0.00440635976954732,0.008617331219576236,0.03501077223706106,0.006934032791624866,0.05227397011843259,0.15855112463506327,0.12925864388434324,1.5494152528484293,0.30649216925559153,38.237048068913474,339.69392233604464,1.1402714932126696,4.0,221,0.0005521377479010709
sub-013,listening,13,500113,0.000677365424906294,0.002091178939410812,0.10889707768012559,0.0,0.0005259151413459243,0.0013484247085740224,0.001987052704887133,0.0004970162980136553,3.0872242109199823,43.44563252652045,2172.6401033683446,4.43064724431207,6542,0.019645414821535798,0.0033166220188585826,0.01936342794791875,0.03255404203292084,0.01618161596883304,0.15205237063441443,0.16938587639122876,0.7200846429214491,55.565383029447865,3.680042334283558,354.8831167772538,28239.321811494123,1.102866779089376,4.0,593,0.0024666734820577322
sub-013,listening,9,500109,0.0008200325774930117,0.0033098851075974295,0.12226622438818209,2.0091176879406837e-05,0.0005603957135223367,0.0016495124057525632,0.0035920051644275745,0.0005276546893503563,4.036284897017565,28.39825070976843,872.0122720756436,3.6270040902515905,4424,0.03933942751733768,0.007189724287719066,0.03867684607175781,0.08162050206491013,0.03748224886844424,0.20376723725163592,1.2019696930564319,67.37373664178295,4480.066634330688,50464.37170488923,3363686.552804277,223652695.34820375,1.1102756892230576,3.0,399,0.006918824533107213
sub-013,listening,5,500105,0.0005875672620798438,0.00037055199952292314,0.002765505280108162,0.0,0.0005134513199571405,0.0012962210113919024,0.0017604531804670607,0.0004674842378593429,0.630654604906441,1.2173730626599182,2.25650999996642,1.4689181551996096,2501,0.01668615716168519,0.0041268317485621,0.016167779703580753,0.05346598809507227,0.014269599213215614,0.06993209022424647,0.14678445936812978,0.09511434145069554,1.1840665828412067,0.2701833257312282,32.279060412233704,325.8294097044618,1.1160714285714286,3.0,224,0.0005701320365856979
sub-013,listening,13,500113,0.0014277846346334364,0.010646039496861971,0.3701114145898889,1.0455135363720698e-06,0.0005985253945512309,0.0020116344789352296,0.008380601352515489,0.0006196446324995708,7.4563342668239265,22.37251028567447,592.1773433832582,8.919370612555078,6248,0.10727764361052547,0.04552397398142112,0.09713938753958566,0.08387084355992316,0.07246456792432117,0.5962189676573545,4.084694328974628,240.7240594382935,18138.999854228234,381344.138044491,24039245.886728596,1811249945.9330304,1.1140819964349375,4.0,561,0.15826058529831746
sub-013,listening,5,500105,0.0014094461994296655,0.0111844326859974,0.32945203856465705,1.206007479355087e-06,0.0005899721309524822,0.001997154970373365,0.005619049126732505,0.0005647773919456661,7.935338497151007,21.739812016570585,522.0497597192793,3.406631464021501,2418,0.02683636365817935,0.008503232374899647,0.02545359411895514,0.0634214441891539,0.017610133611210343,0.36362893822585896,0.2471800577586409,1.439826728677078,53.81836492710904,16.920910655130363,744.3826241937136,30019.712576119375,1.136150234741784,3.0,213,0.018773189524785565
sub-013,listening,9,500109,0.0006393742110833026,0.001549308940789633,0.07183031244227871,1.559289905574482e-05,0.0005227178672319361,0.0013308707247512135,0.0019143243325958682,0.00047436544245488076,2.4231645786348066,42.746007063840935,1957.8158855852512,2.890610808307611,4522,0.011946100203186143,0.003443324124677771,0.01143909214216653,0.06411855185112805,0.009851903842626235,0.12729976548482969,0.16003857432396063,0.4766672298932804,30.96065839049423,2.5052017150956676,203.6712438987502,13267.81765570589,1.1243781094527363,3.0,402,0.0007719761354757727
sub-013,memory,13,6001131,0.000653808464137926,0.0005290188699633428,0.006832713605534752,4.160472272846667e-06,0.0005348269926125403,0.0015109015676764363,0.002729702138014601,0.0005024288536190504,0.8091343244705106,3.2214707045162423,18.890245584219347,4.27459973853376,6539,0.011568448477269483,0.008625791587172757,0.00770874306653804,0.08518086441709206,0.008775175516667913,0.1071052399598677,0.1634641869523582,0.1361839287970905,1.9770591781485873,0.2906136845323003,39.70704365423912,523.3797215901513,1.1160409556313993,3.0,586,0.0015533361639970004
sub-013,memory,9,6001090,0.0007730600908759787,0.0039780808530260284,0.13661683278912506,9.344007076424157e-06,0.0005284765860144618,0.0015206028187095507,0.0027727436307516174,0.0005313016759082647,5.1458882692008325,32.37300570506045,1070.4223975006712,3.4694936878513927,4489,0.0091371665635468,0.006193551225975671,0.006717718066517297,0.039549460956323945,0.007136692455106405,0.15988870680780698,0.1879294267081364,1.1515846200529796,68.3271401319162,7.415026908142587,544.9174670475951,34437.29611665205,1.1483375959079285,4.0,391,0.004130577749298154
sub-013,memory,13,6001131,0.0006653523248072843,0.00168295679963104,0.09339495335160615,0.0,0.0005317276762124284,0.0014425825297143921,0.0022962602856990543,0.0005017625769689772,2.5294219872433743,50.44564521385152,2760.7016241488864,4.354065613538868,6545,0.008108675048321523,0.005972981400271751,0.005483986162571871,0.053921150190322224,0.0043733543254223664,0.14596956679247036,0.16255572071105345,0.3183154602546554,24.00875376455351,0.9158065135046782,87.12400036752798,6103.181518946697,1.0916666666666666,5.0,600,0.0019662018177036803
sub-013,memory,13,6001130,0.0006018056123190186,0.00041109835229075867,0.00544364860250038,0.0,0.0005162379104739492,0.001376417170916811,0.001967542756980797,0.00047064911623265936,0.6831082061641434,2.005835324765673,9.342666840119602,3.9346050933417436,6539,0.008500942842104925,0.0027165225121426493,0.008055217852159999,0.04445968873126762,0.005500432661702604,0.057909293710958994,0.1502203942635555,0.1041811250846676,1.3441844523761777,0.22758168483839636,34.544934463863214,326.7569396321158,1.117948717948718,3.0,585,0.0004381647354801786
sub-013,memory,5,6001051,0.0006611615043519949,0.0005461009589570246,0.008888960540235928,1.2273762566184073e-05,0.0005511950749058398,0.001505815947818199,0.002422104064119449,0.0005117604223381135,0.825972104186947,4.792587519605229,48.18054200193704,1.6568707299060992,2507,0.007279551823253203,0.004234564292826225,0.005921177247587692,0.026962928490846614,0.004080445765465555,0.04988116869049717,0.16528363211465638,0.13808662748674477,2.200236220109396,0.3083097630865996,37.47590318989267,346.5701970754879,1.1357466063348416,4.0,221,0.0004318987325305214
sub-013,memory,9,6001090,0.0006477617294689075,0.0005698870082751263,0.01421678928562825,2.94512163389533e-06,0.0005296091034883233,0.0015023020932617788,0.0027442740559842794,0.0004932034463921366,0.8797787555963983,6.992242893331359,120.73235268109569,2.9343606344941513,4531,0.012813284582247321,0.005524653558166469,0.011561075419176862,0.06253238718309234,0.009840344112389071,0.08887903203800218,0.16109263977999916,0.13607288796132558,3.572128207504206,0.3095302156904754,39.06618450470791,845.0145435574368,1.141057934508816,4.0,397,0.001102870526067085
sub-013,memory,13,6001130,0.0006438837889170823,0.002039594853690865,0.11518002017933816,5.473469117177287e-07,0.0005307376397685444,0.0013309389773392515,0.0019224934972032724,0.0004888133287066259,3.1676443619137595,53.833409492915756,3013.25616842816,4.205205025417465,6532,0.009375534914092156,0.0026685131594091295,0.008987752357704418,0.019057432433565537,0.003626590916747199,0.12484943530387983,0.15340319477646439,0.14880628641422977,8.922558427533797,0.12104960517568873,43.05158504748363,687.3508839489994,1.112436115843271,4.0,587,0.00133809538792978
sub-013,memory,9,6001090,0.0008626133648333206,0.005202873151829766,0.1758188665523068,0.0,0.0005632248581111896,0.0015978482422312282,0.0031138117284830115,0.000527473340621474,6.031523929420102,32.26397736507088,1062.3776682016294,3.8481182205214433,4462,0.009789404817964783,0.004620734197549594,0.008630252728952252,0.048438593905187725,0.006707493567767875,0.15463264815285901,0.19820598935100348,1.3252285738631824,86.60455375875591,7.766604123593343,646.4753305908987,41231.390578292194,1.117794486215539,4.0,399,0.00433852119580527
sub-013,memory,5,6001051,0.0007152759089578789,0.003074991202439956,0.10860525072454232,2.351449508103243e-05,0.0005372036498375358,0.001448269177587641,0.0021209721600899977,0.00048407843895045924,4.299028058864814,34.35427571413425,1203.548566588024,1.7982036351201076,2515,0.006050944785651042,0.004261678276986884,0.004295582738401816,0.05167668815203547,0.00461784248808411,0.1409790450900218,0.1814146443681337,1.0966829850079116,54.51846252422183,9.696631070334327,550.8895655436734,27359.22477805359,1.12,3.0,225,0.0010128505070650126
sub-013,memory,9,6001090,0.0006107422805181566,0.00043748918198907214,0.005182883255038,6.981501754663901e-06,0.000523552291833047,0.0013724136939590951,0.002180448565039088,0.0004789637106422135,0.7163237194220519,2.445628040906056,12.148249241966958,2.7697162421498405,4536,0.0048429698327774355,0.0036099309816227244,0.0032284292015022868,0.03497678334980526,0.0036069596458422858,0.045383281835652975,0.15257927615813563,0.1101071514868125,1.2828909984148071,0.3103838573843027,34.39423061862358,179.61453015335,1.1100244498777505,3.0,409,0.00026899371135637087
sub-013,memory,5,6001051,0.0006381771132523621,0.00041328379606058607,0.004488790961280526,2.7789770998637446e-05,0.0005533683432365253,0.0013841500687161122,0.0020274441596269278,0.0004846721092271678,0.6476004662002918,1.769468696632692,6.81013864183363,1.603739085603186,2514,0.004768522100772834,0.0031817720110585315,0.003551778413021217,0.02159036657678902,0.0031180257097024526,0.032198064915838126,0.15923042549784167,0.10371547051616946,1.1422285921290272,0.2728865733411576,34.90316240640584,261.3570999351422,1.1101321585903083,3.0,227,0.0001962705793213995
sub-013,memory,5,6001051,0.0008114042094701345,0.0049542078745155186,0.17647093681409812,0.0,0.0005466556184774249,0.0015613161330353192,0.0026990923571287525,0.0005137313940206988,6.105721188888987,34.51245386909159,1205.5770240382335,2.0106596310669933,2479,0.009639482701342659,0.0049087744071847576,0.00829599665916352,0.03103047165515771,0.007557145120717526,0.1511611005833747,0.18909753137794075,0.9332284126831709,44.90249673399169,2.0352304980653537,256.42300785711706,11240.214802857057,1.1071428571428572,3.0,224,0.00449149476708405
