subject,trial,condition,accuracy
15,22,9,0.8888888888888888
15,23,9,0.6666666666666666
15,24,5,1.0
15,25,13,0.07692307692307693
15,26,9,0.5555555555555556
15,27,5,1.0
15,28,13,0.07692307692307693
15,29,5,1.0
15,30,5,1.0
15,31,13,0.23076923076923078
15,32,9,0.4444444444444444
15,33,13,0.3076923076923077
15,40,5,1.0
15,41,13,0.46153846153846156
15,42,5,1.0
15,43,13,0.5
15,44,5,1.0
15,45,13,0.38461538461538464
15,46,9,0.3333333333333333
15,47,13,0.46153846153846156
15,48,9,0.3333333333333333
15,49,9,0.3333333333333333
15,50,5,1.0
15,51,9,1.0
15,58,13,0.23076923076923078
15,59,5,1.0
15,60,9,1.0
15,61,5,1.0
15,62,13,0.3076923076923077
15,63,9,0.5555555555555556
15,64,13,0.07692307692307693
15,65,9,0.3333333333333333
15,66,5,1.0
15,67,9,0.6666666666666666
15,68,5,1.0
15,69,13,0.23076923076923078
15,76,13,0.07692307692307693
15,77,5,1.0
15,78,5,1.0
15,79,13,0.14285714285714285
15,80,9,0.5555555555555556
15,81,13,0.09090909090909091
15,82,13,0.15384615384615385
15,83,5,0.6
15,84,9,0.5555555555555556
15,85,5,1.0
15,86,9,0.5555555555555556
15,87,9,0.0
15,94,9,0.3333333333333333
15,95,13,0.46153846153846156
15,96,13,0.2727272727272727
15,97,9,1.0
15,98,13,0.23076923076923078
15,99,5,1.0
15,100,5,1.0
15,101,9,0.3333333333333333
15,102,5,1.0
15,103,5,1.0
15,104,13,0.23076923076923078
15,105,9,0.3333333333333333
15,112,9,0.0
15,113,13,0.07692307692307693
15,114,9,0.5555555555555556
15,115,5,1.0
15,116,13,0.125
15,117,13,0.15384615384615385
15,118,9,0.6666666666666666
15,119,5,1.0
15,120,13,0.23076923076923078
15,121,5,1.0
15,122,5,1.0
15,123,9,0.7777777777777778
15,130,5,1.0
15,131,9,0.6666666666666666
15,132,5,1.0
15,133,13,0.07692307692307693
15,134,9,0.6666666666666666
15,135,9,0.3333333333333333
15,136,9,0.3333333333333333
15,137,13,0.3076923076923077
15,138,5,1.0
15,139,5,1.0
15,140,13,0.3076923076923077
15,141,13,0.23076923076923078
15,148,13,0.23076923076923078
15,149,9,1.0
15,150,9,0.7777777777777778
15,151,13,0.16666666666666666
15,152,9,1.0
15,153,5,1.0
15,154,5,1.0
15,155,9,0.3333333333333333
15,156,5,1.0
15,157,13,0.3076923076923077
15,158,5,1.0
15,159,13,0.07692307692307693
16,4,5,1.0
16,5,9,0.2222222222222222
16,6,9,0.5555555555555556
16,7,5,1.0
16,8,13,0.3076923076923077
16,9,5,1.0
16,10,9,0.5555555555555556
16,11,13,0.3076923076923077
16,12,5,1.0
16,13,13,0.23076923076923078
16,14,13,0.46153846153846156
16,15,9,0.7777777777777778
16,22,5,1.0
16,23,9,0.5555555555555556
16,24,13,0.07692307692307693
16,25,13,0.3076923076923077
16,26,5,1.0
16,27,13,0.5384615384615384
16,28,13,0.38461538461538464
16,29,9,0.5555555555555556
16,30,9,0.6666666666666666
16,31,9,0.8888888888888888
16,32,5,0.6
16,33,5,1.0
