subject,trial,condition,accuracy,cluster,label
14,62,5,0.4,1,과부하
14,63,13,0.3846153846153846,1,과부하
14,64,5,1.0,0,정상
14,65,13,0.2307692307692307,1,과부하
14,66,9,0.4444444444444444,1,과부하
14,67,5,1.0,0,정상
14,68,13,0.0833333333333333,1,과부하
14,69,9,0.2222222222222222,1,과부하
14,76,9,0.2222222222222222,1,과부하
14,77,13,0.3076923076923077,1,과부하
14,78,13,0.2307692307692307,1,과부하
14,79,13,0.2307692307692307,1,과부하
14,80,5,0.4,1,과부하
14,81,5,0.6,1,과부하
14,82,5,1.0,0,정상
14,83,9,0.4444444444444444,1,과부하
14,84,9,0.3333333333333333,1,과부하
14,85,13,0.1538461538461538,1,과부하
14,86,5,1.0,0,정상
14,87,9,0.5555555555555556,1,과부하
14,94,13,0.3076923076923077,1,과부하
14,95,5,1.0,0,정상
14,96,5,1.0,0,정상
14,97,5,1.0,0,정상
14,98,13,0.1818181818181818,1,과부하
14,99,9,0.5714285714285714,1,과부하
14,100,5,1.0,0,정상
14,101,9,0.4444444444444444,1,과부하
14,102,9,0.2222222222222222,1,과부하
14,103,9,0.0,1,과부하
14,104,13,0.1538461538461538,1,과부하
14,105,13,0.0,1,과부하
14,112,9,0.1111111111111111,1,과부하
14,113,5,1.0,0,정상
14,114,9,0.3333333333333333,1,과부하
14,115,5,1.0,0,정상
14,116,9,0.0,1,과부하
14,117,9,0.6666666666666666,0,정상
14,118,13,0.1666666666666666,1,과부하
14,119,13,0.2307692307692307,1,과부하
14,120,5,1.0,0,정상
14,121,5,0.6,1,과부하
14,122,13,0.1538461538461538,1,과부하
14,123,13,0.1666666666666666,1,과부하
14,130,9,0.0,1,과부하
14,131,5,0.6,1,과부하
14,132,13,0.1538461538461538,1,과부하
14,133,5,1.0,0,정상
14,134,9,0.6666666666666666,0,정상
14,135,13,0.3076923076923077,1,과부하
14,136,9,0.1111111111111111,1,과부하
14,137,13,0.2307692307692307,1,과부하
14,138,5,0.6,1,과부하
14,139,9,0.5555555555555556,1,과부하
14,140,5,1.0,0,정상
14,141,13,0.3076923076923077,1,과부하
14,148,13,0.4615384615384615,1,과부하
14,149,5,1.0,0,정상
14,150,13,0.2307692307692307,1,과부하
14,151,9,0.5555555555555556,1,과부하
14,152,13,0.3846153846153846,1,과부하
14,153,9,0.4444444444444444,1,과부하
14,154,5,1.0,0,정상
14,155,5,0.8,0,정상
14,156,13,0.2727272727272727,1,과부하
14,157,9,0.6666666666666666,0,정상
14,158,5,1.0,0,정상
14,159,9,0.7142857142857143,0,정상
15,4,13,0.3076923076923077,1,과부하
15,5,5,1.0,0,정상
15,6,9,0.5555555555555556,1,과부하
15,7,5,1.0,0,정상
15,8,13,0.4615384615384615,1,과부하
15,9,5,1.0,0,정상
15,10,13,0.3076923076923077,1,과부하
15,11,9,0.7777777777777778,0,정상
15,12,13,0.1538461538461538,1,과부하
15,13,9,0.7777777777777778,0,정상
15,14,5,1.0,0,정상
15,15,9,1.0,0,정상
15,22,9,0.8888888888888888,0,정상
15,23,9,0.6666666666666666,0,정상
15,24,5,1.0,0,정상
15,25,13,0.0769230769230769,1,과부하
15,26,9,0.5555555555555556,1,과부하
15,27,5,1.0,0,정상
15,28,13,0.0769230769230769,1,과부하
15,29,5,1.0,0,정상
15,30,5,1.0,0,정상
15,31,13,0.2307692307692307,1,과부하
15,32,9,0.4444444444444444,1,과부하
15,33,13,0.3076923076923077,1,과부하
15,40,5,1.0,0,정상
15,41,13,0.4615384615384615,1,과부하
15,42,5,1.0,0,정상
15,43,13,0.5,1,과부하
15,44,5,1.0,0,정상
15,45,13,0.3846153846153846,1,과부하
15,46,9,0.3333333333333333,1,과부하
15,47,13,0.4615384615384615,1,과부하
15,48,9,0.3333333333333333,1,과부하
15,49,9,0.3333333333333333,1,과부하
15,50,5,1.0,0,정상
15,51,9,1.0,0,정상
15,58,13,0.2307692307692307,1,과부하
15,59,5,1.0,0,정상
15,60,9,1.0,0,정상
15,61,5,1.0,0,정상
15,62,13,0.3076923076923077,1,과부하
15,63,9,0.5555555555555556,1,과부하
15,64,13,0.0769230769230769,1,과부하
15,65,9,0.3333333333333333,1,과부하
15,66,5,1.0,0,정상
15,67,9,0.6666666666666666,0,정상
15,68,5,1.0,0,정상
15,69,13,0.2307692307692307,1,과부하
15,76,13,0.0769230769230769,1,과부하
15,77,5,1.0,0,정상
15,78,5,1.0,0,정상
15,79,13,0.1428571428571428,1,과부하
15,80,9,0.5555555555555556,1,과부하
15,81,13,0.0909090909090909,1,과부하
15,82,13,0.1538461538461538,1,과부하
15,83,5,0.6,1,과부하
15,84,9,0.5555555555555556,1,과부하
15,85,5,1.0,0,정상
15,86,9,0.5555555555555556,1,과부하
15,87,9,0.0,1,과부하
