subject,trial_seg,peak_val,peak_pos,early_mean,late_val,decline,plateau_len,volatility,condition,global_trial_num,trial,accuracy_z,predicted_z,load_score_pct,load_label
13,4,0.3321456202691877,6.0,0.04031122553632791,0.023432301110207554,0.30871331915898015,1.0,0.19714358093698595,9.0,4.0,4,0.384816764561882,-1.006468951650925,70.45147004551606,과부하
13,5,-0.05647314943507453,1.0,-0.22193269331910895,-0.281619368082775,0.22514621864770046,1.0,0.13713952694024173,5.0,5.0,5,1.3545550112578253,0.44872715749959896,15.536966416533403,정상
13,6,0.7474742047643996,8.0,0.2789721699184852,0.20306883398535902,0.5444053707790406,3.0,0.3393885556188496,9.0,6.0,6,-0.584921482134061,-1.1990037835256637,82.4455652601796,과부하
13,7,0.36185433545438705,3.0,0.1360677411155889,0.3525169513477566,0.00933738410663043,0.0,0.4531734431485278,5.0,7.0,7,1.3545550112578253,0.47268371258707603,13.98696026571534,정상
13,8,0.20081079480616726,7.0,-0.45213806428978864,-0.499588437236933,0.7003992320431003,2.0,0.28543093639441613,9.0,8.0,8,-0.584921482134061,-1.175589287066934,81.41222782630089,과부하
13,9,0.22670708140204798,7.0,0.0608173175090867,-0.14055633268998147,0.36726341409202945,1.0,0.341603887818565,9.0,9.0,9,-0.584921482134061,-1.0769573516706854,75.15069504244065,과부하
13,10,0.6814997101560669,9.0,0.1238015244834287,0.023103307452906563,0.6583964027031604,1.0,0.33657370536472114,13.0,10.0,10,-0.6595167318799027,-1.3787278190495278,90.34321564768115,과부하
13,11,0.2326001487617111,3.0,0.08118872926764312,-0.21810544499519935,0.45070559375691044,3.0,0.340323692488589,13.0,11.0,11,-1.1070882303549536,-1.2187611787259225,83.25747324394145,과부하
13,12,0.18316586668306023,3.0,0.020634488171600473,-0.8480546475041599,1.0312205141872202,2.0,0.3584668537309686,13.0,12.0,12,-0.8833024811174283,-1.1549883600987,80.32968384795177,과부하
13,13,0.1438463675877628,5.0,-0.08521432816012683,0.1438463675877628,0.0,0.0,0.2761334291158075,5.0,13.0,13,1.3545550112578253,0.7980906009247586,0.43055726411613193,정상
13,14,1.2633617626761464,6.0,0.642591793526752,0.9952802793219662,0.26808148335418025,2.0,0.3797192995081223,13.0,14.0,14,-0.6595167318799027,-0.9830741560511147,68.80305080575717,과부하
13,15,0.15695436212897995,4.0,0.018376375698019844,0.040434765534899775,0.11651959659408018,0.0,0.11738091963480217,5.0,15.0,15,1.3545550112578253,0.5771227825420724,7.9222536597367395,정상
13,22,0.33042891954336095,5.0,0.010083417410677243,0.33042891954336095,0.0,0.0,0.33079630524760484,5.0,22.0,22,1.3545550112578253,0.7331651126305282,2.8908844876368534,정상
13,23,0.6803709008375227,5.0,0.14599897023343048,-0.18272617055488727,0.86309707139241,3.0,0.32784511154088153,9.0,23.0,23,0.384816764561882,-0.9730264304550001,68.16336572764178,과부하
13,24,0.4483000268957662,2.0,0.07941558349192057,-0.016575760236543502,0.4648757871323097,1.0,0.3641911887830464,5.0,24.0,24,1.3545550112578253,-0.08781081410214632,37.126337802927786,정상
13,25,0.3839008227091627,13.0,-0.14173142117722293,0.3839008227091627,0.0,1.0,0.2787610012495977,13.0,25.0,25,-1.1070882303549536,-1.4254865516832864,92.87735268790749,과부하
13,26,0.6408619767419852,8.0,0.06831784192065893,0.3395850965989151,0.3012768801430701,0.0,0.37351723105828843,9.0,26.0,26,-1.231413646598023,-1.0548240472306727,73.41616434985853,과부하
13,27,0.698072839485234,4.0,0.20216757863646198,0.5167736010122939,0.18129923847294016,0.0,0.40645074690114863,5.0,27.0,27,1.3545550112578253,0.2923339799541255,23.02866281215401,정상
13,28,0.3117919347129776,5.0,-0.03941286504212815,0.0213286206857477,0.2904633140272299,2.0,0.35145898878233917,13.0,28.0,28,-1.3308739795924789,-0.8432962801936309,61.680403493664656,과부하
13,29,0.42139775263136325,7.0,-0.3372060336748287,-0.26011302518802726,0.6815107778193905,2.0,0.34022040161664246,9.0,29.0,29,-1.5546597288300041,-1.1712378657732914,81.21540164841923,과부하
13,30,0.5355106669285821,5.0,-0.15427030418368962,-0.6652816154075474,1.2007922823361294,1.0,0.4088505867109956,13.0,30.0,30,-0.6595167318799027,-0.6689960420447904,52.04822241358101,과부하
13,31,0.8091589975370805,7.0,-0.2026471155571512,0.023785631718950206,0.7853733658181303,2.0,0.309805019208032,13.0,31.0,31,-0.6595167318799027,-1.0950843960531762,76.40546192643622,과부하
13,32,0.11671870798060624,5.0,-0.13243105469486008,-0.5293234775137838,0.6460421854943901,1.0,0.25294544070034836,9.0,32.0,32,-0.584921482134061,-0.9432670014328803,66.5272481240005,과부하
